Produit,Gluten,Lupin,Soja,Lait,Oeufs,Celeri,Fruits_a_coque,Arachides,Sesame,Moutarde,Poissons,Mollusques,Crustaces,Sulfites
BABY MOUTARDE,Absent,Absent,Traces,Absent,Absent,Absent,Traces,Absent,Traces,Absent,Absent,Absent,Absent,Absent
BABY POIVRE,Absent,Absent,Absent,Absent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
BABY BEARNAISE,Présent,Absent,Traces,Présent,Présent,Présent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
CHEESY POIVRE,Présent,Traces,Présent,Absent,Traces,Traces,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
FRENCH POIVRE,Absent,Traces,Absent,Présent,Traces,Absent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
CHICKEN BEARNAISE,Absent,Traces,Traces,Présent,Présent,Traces,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Traces
SMOKY CHICKEN,Présent,Absent,Présent,Absent,Absent,Présent,Traces,Absent,Présent,Présent,Absent,Absent,Absent,Absent
KING BACON,Présent,Absent,Présent,Présent,Présent,Absent,Traces,Absent,Présent,Présent,Absent,Absent,Absent,Absent
KING CHICKEN,Présent,Absent,Présent,Absent,Présent,Présent,Traces,Absent,Présent,Absent,Absent,Absent,Absent,Absent
KING FISH,Absent,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Présent,Absent,Présent,Absent,Absent,Absent
KING TORTILLA CHEESE & BACON,Présent,Absent,Traces,Présent,Absent,Présent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING TORTILLA EXTRA CHEDDAR,Présent,Absent,Traces,Absent,Présent,Présent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
KING TORTILLA VEGGIE CHEESE & BACON,Absent,Absent,Absent,Absent,Absent,Présent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
GROGU BURGER,Présent,Traces,Traces,Présent,Absent,Traces,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Traces
MANDALORIAN BURGER,Présent,Absent,Traces,Absent,Absent,Absent,Traces,Absent,Présent,Traces,Absent,Absent,Absent,Absent
GROGU BURGER VEGGIE,Présent,Traces,Présent,Absent,Absent,Présent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
MANDALORIAN BURGER VEGGIE,Présent,Absent,Présent,Absent,Absent,Traces,Traces,Absent,Présent,Traces,Absent,Absent,Absent,Absent
CHEDDAR WHOPPER,Présent,Absent,Traces,Absent,Présent,Présent,Traces,Absent,Présent,Traces,Absent,Absent,Absent,Absent
CHEDDAR STEAKHOUSE,Présent,Traces,Traces,Absent,Présent,Absent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
BABY WHOPPER,Absent,Absent,Traces,Absent,Présent,Présent,Traces,Absent,Traces,Traces,Absent,Absent,Absent,Absent
BABY BIG KING,Présent,Absent,Traces,Présent,Présent,Absent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
BABY CHICKEN LOUISIANE,Présent,Absent,Traces,Présent,Présent,Présent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
MASTER MONTAGNARD,Présent,Absent,Traces,Absent,Absent,Traces,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
MASTER MONTAGNARD POULET,Absent,Absent,Traces,Présent,Présent,Traces,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Traces
MASTER MUNSTER,Présent,Absent,Traces,Présent,Absent,Traces,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
MASTER MUNSTER POULET,Présent,Absent,Traces,Présent,Absent,Traces,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Traces
VEGGIE CHICKEN LOUISIANE STEAKHOUSE,Présent,Traces,Présent,Présent,Présent,Présent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
VEGGIE WHOPPER,Absent,Absent,Absent,Traces,Présent,Présent,Traces,Absent,Présent,Traces,Absent,Absent,Absent,Absent
VEGGIE STEAKHOUSE,Présent,Traces,Absent,Présent,Présent,Traces,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent
BIG KING / BIG KING XXL,Présent,Absent,Traces,Présent,Présent,Absent,Traces,Absent,Présent,Présent,Absent,Absent,Absent,Absent
CLASSIC KING,Présent,Absent,Traces,Présent,Absent,Absent,Traces,Absent,Présent,Présent,Absent,Absent,Absent,Absent
